,Market,Runner,Secs,L3S,L3P,L2S,L2P,L1S,L1P,B1P,B1S,B2P,B2S,B3P,B3S,MinExecPx,MinExecSz,MaxExecPx,MaxExecSz,BackPerc,LayPerc,BackPercSum,LayPercSum
0,1.122755340,8985115,599.739,373.13,2.56,246.12,2.58,53.2,2.6,2.62,7.59,2.64,320.07,2.66,317.53,,,,,0.38167938931297707,0.3846153846153846,0.980431984756749,1.0003655508349778
1,1.122755340,10477245,599.739,346.03,3.25,386.37,3.3,263.7,3.35,3.4,183.68,3.45,421.89,3.5,413.01,,,,,0.29411764705882354,0.29850746268656714,0.980431984756749,1.0003655508349778
2,1.122755340,8400571,599.739,167.07,5.9,565.5,6.0,42.61,6.2,6.4,373.9,6.6,178.33,6.8,95.61,,,,,0.15625,0.16129032258064516,0.980431984756749,1.0003655508349778
3,1.122755340,3873373,599.739,106.53,9.6,87.74,9.8,370.24,10.0,10.5,136.23,11.0,242.88,11.5,120.12,,,,,0.09523809523809523,0.1,0.980431984756749,1.0003655508349778
4,1.122755340,9392755,599.739,52.87,19.5,103.9,20.0,9.5,21.0,22.0,9.42,23.0,27.53,24.0,16.24,,,,,0.045454545454545456,0.047619047619047616,0.980431984756749,1.0003655508349778
5,1.122755340,8756222,599.739,16.97,100.0,2.2,110.0,1.69,120.0,130.0,8.3,150.0,3.79,160.0,3.0,,,,,0.007692307692307693,0.008333333333333333,0.980431984756749,1.0003655508349778
6,1.122755340,8985115,598.737,373.13,2.56,246.12,2.58,53.2,2.6,2.62,7.59,2.64,320.07,2.66,257.56,,,,,0.38167938931297707,0.3846153846153846,0.980431984756749,1.0003655508349778
7,1.122755340,10477245,598.737,346.03,3.25,386.37,3.3,263.7,3.35,3.4,158.68,3.45,421.89,3.5,413.01,,,,,0.29411764705882354,0.29850746268656714,0.980431984756749,1.0003655508349778
8,1.122755340,8400571,598.737,167.07,5.9,565.5,6.0,42.61,6.2,6.4,364.9,6.6,178.33,6.8,95.61,6.4,18.0,6.4,18.0,0.15625,0.16129032258064516,0.980431984756749,1.0003655508349778
9,1.122755340,3873373,598.737,106.53,9.6,87.74,9.8,308.88,10.0,10.5,136.23,11.0,242.88,11.5,120.12,,,,,0.09523809523809523,0.1,0.980431984756749,1.0003655508349778
10,1.122755340,9392755,598.737,52.87,19.5,103.9,20.0,9.5,21.0,22.0,9.42,23.0,27.53,24.0,16.24,,,,,0.045454545454545456,0.047619047619047616,0.980431984756749,1.0003655508349778
11,1.122755340,8756222,598.737,16.97,100.0,2.2,110.0,1.69,120.0,130.0,8.3,150.0,3.79,160.0,3.0,,,,,0.007692307692307693,0.008333333333333333,0.980431984756749,1.0003655508349778
12,1.122755340,8985115,597.732,373.13,2.56,246.12,2.58,97.2,2.6,2.62,7.59,2.64,320.07,2.66,257.56,,,,,0.38167938931297707,0.3846153846153846,0.980431984756749,1.0003655508349778
13,1.122755340,10477245,597.732,346.03,3.25,386.37,3.3,238.7,3.35,3.4,158.68,3.45,421.89,3.5,413.01,3.35,50.0,3.35,50.0,0.29411764705882354,0.29850746268656714,0.980431984756749,1.0003655508349778
14,1.122755340,8400571,597.732,167.07,5.9,565.5,6.0,42.61,6.2,6.4,364.9,6.6,178.33,6.8,95.61,,,,,0.15625,0.16129032258064516,0.980431984756749,1.0003655508349778
15,1.122755340,3873373,597.732,106.53,9.6,87.74,9.8,263.87,10.0,10.5,136.23,11.0,242.88,11.5,120.12,,,,,0.09523809523809523,0.1,0.980431984756749,1.0003655508349778
16,1.122755340,9392755,597.732,52.87,19.5,103.9,20.0,9.5,21.0,22.0,12.12,23.0,27.53,24.0,16.24,,,,,0.045454545454545456,0.047619047619047616,0.980431984756749,1.0003655508349778
17,1.122755340,8756222,597.732,16.97,100.0,2.2,110.0,1.69,120.0,130.0,8.3,150.0,3.79,160.0,3.0,,,,,0.007692307692307693,0.008333333333333333,0.980431984756749,1.0003655508349778
18,1.122755340,8985115,596.729,373.13,2.56,246.12,2.58,97.2,2.6,2.62,31.59,2.64,320.07,2.66,274.22,,,,,0.38167938931297707,0.3846153846153846,0.980431984756749,1.0003655508349778
19,1.122755340,10477245,596.729,346.03,3.25,386.37,3.3,238.7,3.35,3.4,158.68,3.45,421.89,3.5,413.01,,,,,0.29411764705882354,0.29850746268656714,0.980431984756749,1.0003655508349778
20,1.122755340,8400571,596.729,167.07,5.9,615.5,6.0,42.61,6.2,6.4,364.9,6.6,178.33,6.8,95.61,,,,,0.15625,0.16129032258064516,0.980431984756749,1.0003655508349778
21,1.122755340,3873373,596.729,106.53,9.6,87.74,9.8,263.87,10.0,10.5,136.23,11.0,243.38,11.5,120.12,,,,,0.09523809523809523,0.1,0.980431984756749,1.0003655508349778
22,1.122755340,9392755,596.729,52.87,19.5,103.9,20.0,9.5,21.0,22.0,12.12,23.0,27.53,24.0,16.24,,,,,0.045454545454545456,0.047619047619047616,0.980431984756749,1.0003655508349778
23,1.122755340,8756222,596.729,16.97,100.0,2.2,110.0,1.69,120.0,130.0,8.3,150.0,3.79,160.0,3.0,,,,,0.007692307692307693,0.008333333333333333,0.980431984756749,1.0003655508349778
24,1.122755340,8985115,595.724,281.97,2.56,246.12,2.58,114.5,2.6,2.62,31.59,2.64,320.07,2.66,183.32,,,,,0.38167938931297707,0.3846153846153846,0.980431984756749,1.0003655508349778
25,1.122755340,10477245,595.724,346.03,3.25,339.46,3.3,238.7,3.35,3.4,159.26,3.45,421.89,3.5,413.01,,,,,0.29411764705882354,0.29850746268656714,0.980431984756749,1.0003655508349778
26,1.122755340,8400571,595.724,167.07,5.9,615.5,6.0,42.61,6.2,6.4,364.9,6.6,178.33,6.8,95.61,,,,,0.15625,0.16129032258064516,0.980431984756749,1.0003655508349778
27,1.122755340,3873373,595.724,106.53,9.6,87.74,9.8,263.87,10.0,10.5,136.23,11.0,243.38,11.5,120.12,,,,,0.09523809523809523,0.1,0.980431984756749,1.0003655508349778
28,1.122755340,9392755,595.724,52.87,19.5,103.9,20.0,9.5,21.0,22.0,12.12,23.0,27.53,24.0,8.28,,,,,0.045454545454545456,0.047619047619047616,0.980431984756749,1.0003655508349778
29,1.122755340,8756222,595.724,16.97,100.0,2.2,110.0,1.69,120.0,130.0,8.3,150.0,3.79,160.0,3.0,,,,,0.007692307692307693,0.008333333333333333,0.980431984756749,1.0003655508349778
30,1.122755340,8985115,594.718,281.97,2.56,246.12,2.58,114.5,2.6,2.62,31.59,2.64,320.07,2.66,183.32,,,,,0.38167938931297707,0.3846153846153846,0.9810730103977746,1.0011231265925535
31,1.122755340,10477245,594.718,346.03,3.25,339.46,3.3,238.7,3.35,3.4,159.26,3.45,421.89,3.5,413.01,,,,,0.29411764705882354,0.29850746268656714,0.9810730103977746,1.0011231265925535
32,1.122755340,8400571,594.718,167.07,5.9,615.5,6.0,38.61,6.2,6.4,364.9,6.6,178.33,6.8,95.61,6.2,8.0,6.2,8.0,0.15625,0.16129032258064516,0.9810730103977746,1.0011231265925535
33,1.122755340,3873373,594.718,106.53,9.6,87.74,9.8,263.87,10.0,10.5,136.23,11.0,243.38,11.5,120.12,,,,,0.09523809523809523,0.1,0.9810730103977746,1.0011231265925535
34,1.122755340,9392755,594.718,52.87,19.5,103.9,20.0,9.5,21.0,22.0,12.12,23.0,27.53,24.0,8.28,,,,,0.045454545454545456,0.047619047619047616,0.9810730103977746,1.0011231265925535
35,1.122755340,8756222,594.718,3.36,95.0,19.6,100.0,2.2,110.0,120.0,0.3,130.0,8.3,150.0,3.79,120.0,3.3999999999999986,120.0,3.3999999999999986,0.008333333333333333,0.00909090909090909,0.9810730103977746,1.0011231265925535
36,1.122755340,8985115,593.714,289.56,2.56,246.12,2.58,114.5,2.6,2.62,31.59,2.64,320.07,2.66,183.32,,,,,0.38167938931297707,0.3846153846153846,0.9810730103977746,1.0011231265925535
37,1.122755340,10477245,593.714,346.03,3.25,357.9,3.3,220.66,3.35,3.4,159.26,3.45,421.89,3.5,413.01,,,,,0.29411764705882354,0.29850746268656714,0.9810730103977746,1.0011231265925535
