,Market,Runner,Secs,L3S,L3P,L2S,L2P,L1S,L1P,B1P,B1S,B2P,B2S,B3P,B3S,MinExecPx,MinExecSz,MaxExecPx,MaxExecSz,BackPerc,LayPerc,BackPercSum,LayPercSum
0,1.122755173,10316263,599.405,111.64,2.7,293.3,2.72,241.63,2.74,2.8,153.6,2.82,168.97,2.84,131.53,,,,,0.35714285714285715,0.36496350364963503,0.9883160078726048,1.0157373996654664
1,1.122755173,9532261,599.405,379.22,3.5,358.82,3.55,222.78,3.6,3.65,177.01,3.7,1068.68,3.75,310.44,,,,,0.273972602739726,0.2777777777777778,0.9883160078726048,1.0157373996654664
2,1.122755173,10599007,599.405,60.75,11.0,70.21,11.5,94.98,12.0,12.5,10.43,13.0,119.81,13.5,77.66,,,,,0.08,0.08333333333333333,0.9883160078726048,1.0157373996654664
3,1.122755173,10754098,599.405,39.27,14.5,30.23,15.0,36.75,15.5,16.5,11.62,17.0,14.33,17.5,44.74,,,,,0.06060606060606061,0.06451612903225806,0.9883160078726048,1.0157373996654664
4,1.122755173,10754099,599.405,157.35,6.8,4.8,7.0,17.13,7.4,7.6,8.33,7.8,14.62,8.0,94.22,,,,,0.13157894736842105,0.13513513513513511,0.9883160078726048,1.0157373996654664
5,1.122755173,10754097,599.405,49.58,19.5,50.07,20.0,8.79,21.0,22.0,42.39,23.0,37.06,24.0,31.9,,,,,0.045454545454545456,0.047619047619047616,0.9883160078726048,1.0157373996654664
6,1.122755173,10754100,599.405,10.04,44.0,4.73,46.0,37.52,48.0,50.0,6.89,55.0,58.79,60.0,70.4,,,,,0.02,0.020833333333333332,0.9883160078726048,1.0157373996654664
7,1.122755173,5477616,599.405,10.26,90.0,2.0,95.0,3.33,100.0,110.0,4.2,120.0,11.15,130.0,7.73,,,,,0.00909090909090909,0.01,0.9883160078726048,1.0157373996654664
8,1.122755173,10754101,599.405,8.77,100.0,4.55,110.0,3.33,120.0,130.0,0.04,140.0,10.17,150.0,8.02,,,,,0.007692307692307693,0.008333333333333333,0.9883160078726048,1.0157373996654664
9,1.122755173,10629278,599.405,2.22,290.0,2.0,300.0,2.03,310.0,360.0,2.88,370.0,22.0,390.0,22.0,,,,,0.002777777777777778,0.0032258064516129032,0.9883160078726048,1.0157373996654664
10,1.122755173,10316263,598.399,211.31,2.7,271.79,2.72,241.63,2.74,2.78,56.04,2.8,153.6,2.82,168.97,2.78,22.7800000000002,2.78,22.7800000000002,0.3597122302158274,0.36496350364963503,0.9938377039779894,1.0194911534192201
11,1.122755173,9532261,598.399,379.22,3.5,358.82,3.55,222.78,3.6,3.65,129.27,3.7,1068.68,3.75,310.44,3.65,135.48999999999978,3.65,135.48999999999978,0.273972602739726,0.2777777777777778,0.9938377039779894,1.0194911534192201
