,Market,Runner,Secs,L3S,L3P,L2S,L2P,L1S,L1P,B1P,B1S,B2P,B2S,B3P,B3S,MinExecPx,MinExecSz,MaxExecPx,MaxExecSz,BackPerc,LayPerc,BackPercSum,LayPercSum
0,1.122569300,7270445,599.713,540.26,2.14,706.99,2.16,464.76,2.18,2.2,339.94,2.22,1018.69,2.24,846.74,,,,,0.45454545454545453,0.4587155963302752,0.9858016438898791,1.0101656247964326
1,1.122569300,7995005,599.713,672.83,4.2,681.84,4.3,298.96,4.4,4.5,416.15,4.6,368.84,4.7,440.3,,,,,0.2222222222222222,0.22727272727272727,0.9858016438898791,1.0101656247964326
2,1.122569300,7893071,599.713,152.36,9.8,475.8,10.0,307.4,10.5,11.0,277.64,11.5,127.51,12.0,125.33,,,,,0.09090909090909091,0.09523809523809523,0.9858016438898791,1.0101656247964326
3,1.122569300,6719058,599.713,188.8,12.0,130.79,12.5,150.93,13.0,13.5,8.42,14.0,168.97,14.5,185.31,,,,,0.07407407407407407,0.07692307692307693,0.9858016438898791,1.0101656247964326
4,1.122569300,7277922,599.713,156.42,14.5,131.11,15.0,4.66,15.5,16.0,141.88,16.5,71.5,17.0,56.03,,,,,0.0625,0.06451612903225806,0.9858016438898791,1.0101656247964326
5,1.122569300,7565448,599.713,68.68,15.0,131.96,15.5,97.61,16.0,17.0,57.42,17.5,138.7,18.0,97.19,,,,,0.058823529411764705,0.0625,0.9858016438898791,1.0101656247964326
6,1.122569300,8632309,599.713,16.41,36.0,17.3,38.0,12.55,40.0,44.0,9.98,46.0,18.75,48.0,10.51,,,,,0.022727272727272728,0.025,0.9858016438898791,1.0101656247964326
7,1.122569300,7201002,599.713,,,,,,,,,,,,,,,,,,,0.9858016438898791,1.0101656247964326
8,1.122569300,7270445,598.708,540.26,2.14,706.99,2.16,464.76,2.18,2.2,340.09,2.22,1018.69,2.24,844.74,,,,,0.45454545454545453,0.4587155963302752,0.9858016438898791,1.0101656247964326
9,1.122569300,7995005,598.708,672.83,4.2,685.84,4.3,308.96,4.4,4.5,416.15,4.6,372.84,4.7,440.3,,,,,0.2222222222222222,0.22727272727272727,0.9858016438898791,1.0101656247964326
10,1.122569300,7893071,598.708,152.36,9.8,475.8,10.0,307.4,10.5,11.0,277.64,11.5,127.51,12.0,125.33,,,,,0.09090909090909091,0.09523809523809523,0.9858016438898791,1.0101656247964326
11,1.122569300,6719058,598.708,188.8,12.0,130.79,12.5,148.93,13.0,13.5,8.42,14.0,168.97,14.5,185.31,13.0,4.0,13.0,4.0,0.07407407407407407,0.07692307692307693,0.9858016438898791,1.0101656247964326
12,1.122569300,7277922,598.708,156.42,14.5,131.11,15.0,4.66,15.5,16.0,141.88,16.5,71.5,17.0,56.03,,,,,0.0625,0.06451612903225806,0.9858016438898791,1.0101656247964326
13,1.122569300,7565448,598.708,68.68,15.0,131.96,15.5,111.61,16.0,17.0,57.42,17.5,138.7,18.0,97.19,,,,,0.058823529411764705,0.0625,0.9858016438898791,1.0101656247964326
14,1.122569300,8632309,598.708,16.41,36.0,17.3,38.0,12.55,40.0,44.0,9.98,46.0,17.79,48.0,10.51,,,,,0.022727272727272728,0.025,0.9858016438898791,1.0101656247964326
15,1.122569300,7201002,598.708,,,,,,,,,,,,,,,,,,,0.9858016438898791,1.0101656247964326
16,1.122569300,7270445,597.703,540.26,2.14,706.99,2.16,464.76,2.18,2.2,340.09,2.22,1018.69,2.24,844.74,,,,,0.45454545454545453,0.4587155963302752,0.9858016438898791,1.0101656247964326
