,Market,Runner,Secs,L3S,L3P,L2S,L2P,L1S,L1P,B1P,B1S,B2P,B2S,B3P,B3S,MinExecPx,MinExecSz,MaxExecPx,MaxExecSz,BackPerc,LayPerc,BackPercSum,LayPercSum
0,1.122569376,5089204,599.125,401.63,2.96,1134.09,2.98,1859.25,3.0,3.05,333.79,3.1,961.83,3.15,878.49,,,,,0.3278688524590164,0.3333333333333333,0.996769969276202,1.0275227808826877
1,1.122569376,3502269,599.125,506.51,3.9,446.21,3.95,1119.04,4.0,4.1,524.46,4.2,370.84,4.3,301.07,,,,,0.24390243902439027,0.25,0.996769969276202,1.0275227808826877
2,1.122569376,2664171,599.125,290.98,4.9,316.84,5.0,301.5,5.1,5.2,10.89,5.3,400.94,5.4,189.1,,,,,0.1923076923076923,0.19607843137254904,0.996769969276202,1.0275227808826877
3,1.122569376,1368146,599.125,230.69,11.0,107.68,11.5,108.29,12.0,12.5,197.95,13.0,229.8,13.5,98.05,,,,,0.08,0.08333333333333333,0.996769969276202,1.0275227808826877
4,1.122569376,3435450,599.125,79.03,19.5,82.83,20.0,49.54,21.0,22.0,11.44,23.0,83.03,24.0,42.88,,,,,0.045454545454545456,0.047619047619047616,0.996769969276202,1.0275227808826877
5,1.122569376,5926091,599.125,35.96,29.0,43.63,30.0,32.46,32.0,34.0,36.86,36.0,38.13,38.0,45.02,,,,,0.029411764705882353,0.03125,0.996769969276202,1.0275227808826877
6,1.122569376,3766554,599.125,20.01,36.0,17.36,38.0,11.0,40.0,42.0,2.34,44.0,28.05,46.0,25.42,,,,,0.023809523809523808,0.025,0.996769969276202,1.0275227808826877
7,1.122569376,5261503,599.125,18.65,48.0,61.81,50.0,56.45,55.0,60.0,18.79,65.0,12.75,70.0,11.57,,,,,0.016666666666666666,0.01818181818181818,0.996769969276202,1.0275227808826877
8,1.122569376,5625218,599.125,11.46,46.0,4.16,48.0,39.47,50.0,55.0,25.35,60.0,25.4,65.0,14.49,,,,,0.01818181818181818,0.02,0.996769969276202,1.0275227808826877
9,1.122569376,5278211,599.125,22.03,65.0,19.68,70.0,4.59,75.0,80.0,8.34,85.0,8.26,90.0,3.87,,,,,0.0125,0.013333333333333334,0.996769969276202,1.0275227808826877
10,1.122569376,8857527,599.125,1.82,190.0,7.34,200.0,0.17,210.0,240.0,2.66,250.0,2.47,260.0,2.25,,,,,0.004166666666666667,0.004761904761904762,0.996769969276202,1.0275227808826877
11,1.122569376,5212305,599.125,2.57,360.0,0.37,370.0,2.9,380.0,400.0,3.14,420.0,0.23,440.0,2.76,,,,,0.0025,0.002631578947368421,0.996769969276202,1.0275227808826877
12,1.122569376,2065584,599.125,0.16,850.0,2.0,900.0,66.2,1000.0,,,,,,,,,,,,0.001,0.996769969276202,1.0275227808826877
13,1.122569376,9133917,599.125,2.11,820.0,0.05,850.0,199.99,1000.0,,,,,,,,,,,,0.001,0.996769969276202,1.0275227808826877
14,1.122569376,5089204,598.12,421.63,2.96,1134.09,2.98,1864.88,3.0,3.05,254.93,3.1,961.83,3.15,878.49,3.0,10.0,3.05,182.71999999999935,0.3278688524590164,0.3333333333333333,0.9957518207580535,1.0263323046922115
15,1.122569376,3502269,598.12,506.51,3.9,446.21,3.95,1159.12,4.0,4.1,471.56,4.2,370.84,4.3,301.07,4.0,5.859999999998763,4.1,86.34000000000015,0.24390243902439027,0.25,0.9957518207580535,1.0263323046922115
16,1.122569376,2664171,598.12,290.98,4.9,316.84,5.0,301.5,5.1,5.2,1.85,5.3,400.94,5.4,186.1,5.2,68.08000000000015,5.2,68.08000000000015,0.1923076923076923,0.19607843137254904,0.9957518207580535,1.0263323046922115
17,1.122569376,1368146,598.12,275.64,11.0,107.68,11.5,123.04,12.0,12.5,197.95,13.0,229.8,13.5,98.05,,,,,0.08,0.08333333333333333,0.9957518207580535,1.0263323046922115
18,1.122569376,3435450,598.12,79.03,19.5,82.83,20.0,57.97,21.0,22.0,39.15,23.0,83.03,24.0,42.88,,,,,0.045454545454545456,0.047619047619047616,0.9957518207580535,1.0263323046922115
19,1.122569376,5926091,598.12,35.96,29.0,43.63,30.0,45.04,32.0,34.0,36.86,36.0,38.13,38.0,45.02,,,,,0.029411764705882353,0.03125,0.9957518207580535,1.0263323046922115
20,1.122569376,3766554,598.12,17.36,38.0,13.0,40.0,7.69,42.0,44.0,28.05,46.0,25.42,48.0,10.72,42.0,4.689999999999998,42.0,4.689999999999998,0.022727272727272728,0.023809523809523808,0.9957518207580535,1.0263323046922115
21,1.122569376,5261503,598.12,18.65,48.0,61.81,50.0,59.28,55.0,60.0,15.85,65.0,12.75,70.0,11.57,60.0,5.900000000000034,60.0,5.900000000000034,0.016666666666666666,0.01818181818181818,0.9957518207580535,1.0263323046922115
22,1.122569376,5625218,598.12,13.46,46.0,2.33,48.0,43.01,50.0,55.0,27.35,60.0,25.4,65.0,14.49,,,,,0.01818181818181818,0.02,0.9957518207580535,1.0263323046922115
23,1.122569376,5278211,598.12,22.03,65.0,19.68,70.0,3.96,75.0,80.0,8.34,85.0,8.26,90.0,3.87,75.0,6.0,75.0,6.0,0.0125,0.013333333333333334,0.9957518207580535,1.0263323046922115
24,1.122569376,8857527,598.12,1.82,190.0,6.55,200.0,1.01,210.0,240.0,2.66,250.0,2.47,260.0,2.25,,,,,0.004166666666666667,0.004761904761904762,0.9957518207580535,1.0263323046922115
25,1.122569376,5212305,598.12,2.57,360.0,0.37,370.0,2.9,380.0,390.0,9.55,400.0,3.09,420.0,0.23,,,,,0.002564102564102564,0.002631578947368421,0.9957518207580535,1.0263323046922115
26,1.122569376,2065584,598.12,0.16,850.0,2.0,900.0,66.38,1000.0,,,,,,,,,,,,0.001,0.9957518207580535,1.0263323046922115
27,1.122569376,9133917,598.12,2.11,820.0,0.05,850.0,200.17,1000.0,,,,,,,,,,,,0.001,0.9957518207580535,1.0263323046922115
28,1.122569376,5089204,596.964,421.63,2.96,1124.09,2.98,1864.88,3.0,3.05,254.76,3.1,951.83,3.15,868.49,,,,,0.3278688524590164,0.3333333333333333,0.9957518207580535,1.0265703999303066
29,1.122569376,3502269,596.964,506.51,3.9,446.21,3.95,1159.12,4.0,4.1,471.56,4.2,370.84,4.3,301.07,,,,,0.24390243902439027,0.25,0.9957518207580535,1.0265703999303066
30,1.122569376,2664171,596.964,290.98,4.9,316.84,5.0,348.22,5.1,5.2,1.85,5.3,400.94,5.4,186.1,,,,,0.1923076923076923,0.19607843137254904,0.9957518207580535,1.0265703999303066
31,1.122569376,1368146,596.964,275.64,11.0,107.68,11.5,123.04,12.0,12.5,197.95,13.0,229.8,13.5,98.05,,,,,0.08,0.08333333333333333,0.9957518207580535,1.0265703999303066
32,1.122569376,3435450,596.964,79.03,19.5,82.83,20.0,57.97,21.0,22.0,39.15,23.0,83.03,24.0,42.88,,,,,0.045454545454545456,0.047619047619047616,0.9957518207580535,1.0265703999303066
33,1.122569376,5926091,596.964,35.96,29.0,43.63,30.0,42.04,32.0,34.0,36.86,36.0,38.13,38.0,45.02,32.0,6.0,32.0,6.0,0.029411764705882353,0.03125,0.9957518207580535,1.0265703999303066
34,1.122569376,3766554,596.964,17.36,38.0,13.0,40.0,7.69,42.0,44.0,28.05,46.0,25.42,48.0,10.72,,,,,0.022727272727272728,0.023809523809523808,0.9957518207580535,1.0265703999303066
35,1.122569376,5261503,596.964,18.65,48.0,61.81,50.0,55.28,55.0,60.0,15.85,65.0,12.75,70.0,11.57,55.0,8.0,55.0,8.0,0.016666666666666666,0.01818181818181818,0.9957518207580535,1.0265703999303066
36,1.122569376,5625218,596.964,13.46,46.0,2.33,48.0,41.01,50.0,55.0,27.35,60.0,25.4,65.0,14.49,50.0,4.0,50.0,4.0,0.01818181818181818,0.02,0.9957518207580535,1.0265703999303066
