,Market,Runner,Secs,L3S,L3P,L2S,L2P,L1S,L1P,B1P,B1S,B2P,B2S,B3P,B3S,MinExecPx,MinExecSz,MaxExecPx,MaxExecSz,BackPerc,LayPerc,BackPercSum,LayPercSum
0,1.122755345,9033704,599.515,1607.21,1.27,1613.55,1.28,167.11,1.29,1.3,1099.78,1.31,2913.51,1.32,313.63,,,,,0.7692307692307692,0.7751937984496123,0.992948717948718,1.0046264225630874
1,1.122755345,8408920,599.515,206.71,4.5,99.23,4.6,165.72,4.7,4.8,57.79,4.9,185.08,5.0,98.85,,,,,0.20833333333333334,0.2127659574468085,0.992948717948718,1.0046264225630874
2,1.122755345,8593630,599.515,24.0,50.0,74.06,55.0,15.76,60.0,65.0,5.75,70.0,7.21,75.0,9.74,,,,,0.015384615384615385,0.016666666666666666,0.992948717948718,1.0046264225630874
3,1.122755345,9033704,598.513,1607.21,1.27,1613.55,1.28,167.11,1.29,1.3,1099.78,1.31,2913.51,1.32,313.63,,,,,0.7692307692307692,0.7751937984496123,0.992948717948718,1.0046264225630874
4,1.122755345,8408920,598.513,206.71,4.5,99.23,4.6,165.72,4.7,4.8,107.79,4.9,185.08,5.0,98.85,,,,,0.20833333333333334,0.2127659574468085,0.992948717948718,1.0046264225630874
5,1.122755345,8593630,598.513,24.0,50.0,74.06,55.0,15.76,60.0,65.0,5.75,70.0,7.21,75.0,9.74,,,,,0.015384615384615385,0.016666666666666666,0.992948717948718,1.0046264225630874
6,1.122755345,9033704,597.508,1487.21,1.27,1491.55,1.28,167.11,1.29,1.3,1099.78,1.31,2819.51,1.32,217.63,,,,,0.7692307692307692,0.7751937984496123,0.992948717948718,1.0046264225630874
7,1.122755345,8408920,597.508,188.71,4.5,79.23,4.6,165.72,4.7,4.8,107.79,4.9,159.08,5.0,98.85,,,,,0.20833333333333334,0.2127659574468085,0.992948717948718,1.0046264225630874
8,1.122755345,8593630,597.508,24.0,50.0,74.06,55.0,15.76,60.0,65.0,5.75,70.0,7.21,75.0,13.62,,,,,0.015384615384615385,0.016666666666666666,0.992948717948718,1.0046264225630874
9,1.122755345,9033704,596.503,1607.21,1.27,1613.55,1.28,112.11,1.29,1.3,1099.78,1.31,2913.51,1.32,313.63,1.29,110.0,1.29,110.0,0.7692307692307692,0.7751937984496123,0.992948717948718,1.0046264225630874
10,1.122755345,8408920,596.503,206.71,4.5,99.23,4.6,165.72,4.7,4.8,107.79,4.9,185.08,5.0,98.85,,,,,0.20833333333333334,0.2127659574468085,0.992948717948718,1.0046264225630874
11,1.122755345,8593630,596.503,24.0,50.0,74.06,55.0,15.76,60.0,65.0,5.75,70.0,7.21,75.0,13.62,,,,,0.015384615384615385,0.016666666666666666,0.992948717948718,1.0046264225630874
12,1.122755345,9033704,595.497,1607.21,1.27,1613.55,1.28,112.11,1.29,1.3,1099.78,1.31,2913.51,1.32,313.63,,,,,0.7692307692307692,0.7751937984496123,0.992948717948718,1.0046264225630874
13,1.122755345,8408920,595.497,206.71,4.5,99.23,4.6,165.72,4.7,4.8,107.79,4.9,185.08,5.0,98.85,,,,,0.20833333333333334,0.2127659574468085,0.992948717948718,1.0046264225630874
14,1.122755345,8593630,595.497,24.0,50.0,74.06,55.0,15.76,60.0,65.0,5.75,70.0,7.21,75.0,13.62,,,,,0.015384615384615385,0.016666666666666666,0.992948717948718,1.0046264225630874
15,1.122755345,9033704,594.493,1607.21,1.27,1613.55,1.28,112.11,1.29,1.3,1099.78,1.31,2913.51,1.32,313.63,,,,,0.7692307692307692,0.7751937984496123,0.992948717948718,1.0046264225630874
16,1.122755345,8408920,594.493,206.71,4.5,99.23,4.6,165.72,4.7,4.8,107.79,4.9,185.08,5.0,98.85,,,,,0.20833333333333334,0.2127659574468085,0.992948717948718,1.0046264225630874
17,1.122755345,8593630,594.493,24.0,50.0,74.06,55.0,15.76,60.0,65.0,5.75,70.0,7.21,75.0,13.62,,,,,0.015384615384615385,0.016666666666666666,0.992948717948718,1.0046264225630874
18,1.122755345,9033704,593.488,1487.21,1.27,1491.55,1.28,112.11,1.29,1.3,1099.78,1.31,2820.29,1.32,217.63,,,,,0.7692307692307692,0.7751937984496123,0.992948717948718,1.0046264225630874
19,1.122755345,8408920,593.488,188.71,4.5,79.23,4.6,165.72,4.7,4.8,107.79,4.9,159.33,5.0,98.85,,,,,0.20833333333333334,0.2127659574468085,0.992948717948718,1.0046264225630874
20,1.122755345,8593630,593.488,24.0,50.0,74.06,55.0,15.76,60.0,65.0,5.75,70.0,7.21,75.0,13.62,,,,,0.015384615384615385,0.016666666666666666,0.992948717948718,1.0046264225630874
21,1.122755345,9033704,592.484,1263.68,1.27,1491.55,1.28,221.64,1.29,1.3,1099.78,1.31,2820.29,1.32,217.63,1.29,60.0,1.29,60.0,0.7692307692307692,0.7751937984496123,0.992948717948718,1.0046264225630874
22,1.122755345,8408920,592.484,188.71,4.5,79.23,4.6,165.72,4.7,4.8,107.79,4.9,159.33,5.0,98.85,,,,,0.20833333333333334,0.2127659574468085,0.992948717948718,1.0046264225630874
23,1.122755345,8593630,592.484,24.0,50.0,74.06,55.0,15.76,60.0,65.0,5.75,70.0,7.21,75.0,13.62,,,,,0.015384615384615385,0.016666666666666666,0.992948717948718,1.0046264225630874
24,1.122755345,9033704,591.484,1263.68,1.27,1491.55,1.28,221.64,1.29,1.3,1099.78,1.31,2820.29,1.32,217.63,,,,,0.7692307692307692,0.7751937984496123,0.992948717948718,1.0046264225630874
25,1.122755345,8408920,591.484,188.71,4.5,79.23,4.6,165.72,4.7,4.8,107.79,4.9,159.33,5.0,98.85,,,,,0.20833333333333334,0.2127659574468085,0.992948717948718,1.0046264225630874
26,1.122755345,8593630,591.484,24.0,50.0,74.06,55.0,23.97,60.0,65.0,5.75,70.0,7.21,75.0,13.62,,,,,0.015384615384615385,0.016666666666666666,0.992948717948718,1.0046264225630874
27,1.122755345,9033704,590.479,1401.68,1.27,1633.55,1.28,201.64,1.29,1.3,1079.78,1.31,2932.29,1.32,331.63,1.29,40.0,1.29,40.0,0.7692307692307692,0.7751937984496123,0.992948717948718,1.0046264225630874
28,1.122755345,8408920,590.479,212.55,4.5,103.23,4.6,165.72,4.7,4.8,107.79,4.9,189.33,5.0,98.85,,,,,0.20833333333333334,0.2127659574468085,0.992948717948718,1.0046264225630874
29,1.122755345,8593630,590.479,24.0,50.0,74.12,55.0,23.97,60.0,65.0,5.75,70.0,7.21,75.0,13.62,,,,,0.015384615384615385,0.016666666666666666,0.992948717948718,1.0046264225630874
30,1.122755345,9033704,589.474,1401.68,1.27,1633.55,1.28,201.64,1.29,1.3,1079.78,1.31,2932.29,1.32,331.63,,,,,0.7692307692307692,0.7751937984496123,0.992948717948718,1.0046264225630874
31,1.122755345,8408920,589.474,212.55,4.5,103.23,4.6,175.72,4.7,4.8,107.79,4.9,189.33,5.0,98.85,,,,,0.20833333333333334,0.2127659574468085,0.992948717948718,1.0046264225630874
32,1.122755345,8593630,589.474,24.0,50.0,74.12,55.0,26.97,60.0,65.0,0.98,70.0,7.21,75.0,13.62,65.0,9.56000000000006,65.0,9.56000000000006,0.015384615384615385,0.016666666666666666,0.992948717948718,1.0046264225630874
33,1.122755345,9033704,588.47,1401.68,1.27,1633.55,1.28,201.64,1.29,1.3,1079.78,1.31,2932.29,1.32,331.63,,,,,0.7692307692307692,0.7751937984496123,0.992948717948718,1.0046264225630874
34,1.122755345,8408920,588.47,212.55,4.5,103.23,4.6,175.72,4.7,4.8,107.79,4.9,189.33,5.0,98.85,,,,,0.20833333333333334,0.2127659574468085,0.992948717948718,1.0046264225630874
