,Market,Runner,Secs,L3S,L3P,L2S,L2P,L1S,L1P,B1P,B1S,B2P,B2S,B3P,B3S,MinExecPx,MinExecSz,MaxExecPx,MaxExecSz,BackPerc,LayPerc,BackPercSum,LayPercSum
0,1.122569361,8424507,599.5,844.75,1.75,600.74,1.76,417.2,1.77,1.78,306.4,1.79,1429.45,1.8,1432.97,,,,,0.5617977528089888,0.5649717514124294,0.9950697215532215,1.0154828144234924
1,1.122569361,10660883,599.5,397.18,8.4,313.94,8.6,58.64,8.8,9.0,112.11,9.2,201.63,9.4,204.96,,,,,0.1111111111111111,0.11363636363636363,0.9950697215532215,1.0154828144234924
2,1.122569361,10710911,599.5,78.74,9.6,111.12,9.8,314.46,10.0,10.5,334.99,11.0,154.1,11.5,179.8,,,,,0.09523809523809523,0.1,0.9950697215532215,1.0154828144234924
3,1.122569361,9153181,599.5,417.31,10.0,240.94,10.5,477.84,11.0,11.5,181.95,12.0,381.17,12.5,79.11,,,,,0.08695652173913043,0.09090909090909091,0.9950697215532215,1.0154828144234924
4,1.122569361,9408870,599.5,89.88,13.0,188.71,13.5,6.5,14.0,14.5,106.71,15.0,133.44,15.5,93.76,,,,,0.06896551724137931,0.07142857142857142,0.9950697215532215,1.0154828144234924
5,1.122569361,10553304,599.5,31.45,23.0,87.44,24.0,42.06,25.0,26.0,26.99,27.0,49.12,28.0,29.88,,,,,0.038461538461538464,0.04,0.9950697215532215,1.0154828144234924
6,1.122569361,8706183,599.5,14.42,44.0,37.87,46.0,14.67,48.0,50.0,17.61,55.0,45.79,60.0,36.76,,,,,0.02,0.020833333333333332,0.9950697215532215,1.0154828144234924
7,1.122569361,9486882,599.5,9.53,90.0,18.09,95.0,7.25,100.0,110.0,37.97,120.0,3.0,130.0,38.0,,,,,0.00909090909090909,0.01,0.9950697215532215,1.0154828144234924
8,1.122569361,9365992,599.5,2.66,250.0,11.0,260.0,1.43,270.0,290.0,3.75,300.0,2.16,310.0,4.47,,,,,0.0034482758620689655,0.003703703703703704,0.9950697215532215,1.0154828144234924
9,1.122569361,8424507,598.588,844.75,1.75,568.74,1.76,492.45,1.77,1.78,469.8,1.79,1419.45,1.8,1632.97,1.77,30.019999999998618,1.78,3.1999999999989086,0.5617977528089888,0.5649717514124294,0.9950697215532215,1.0154828144234924
10,1.122569361,10660883,598.588,397.18,8.4,313.94,8.6,54.68,8.8,9.0,116.61,9.2,201.63,9.4,204.96,8.8,6.0,8.8,6.0,0.1111111111111111,0.11363636363636363,0.9950697215532215,1.0154828144234924
11,1.122569361,10710911,598.588,78.74,9.6,111.12,9.8,314.46,10.0,10.5,364.34,11.0,154.1,11.5,179.8,,,,,0.09523809523809523,0.1,0.9950697215532215,1.0154828144234924
12,1.122569361,9153181,598.588,421.7,10.0,240.94,10.5,477.84,11.0,11.5,181.95,12.0,381.17,12.5,79.11,,,,,0.08695652173913043,0.09090909090909091,0.9950697215532215,1.0154828144234924
13,1.122569361,9408870,598.588,89.88,13.0,188.71,13.5,6.5,14.0,14.5,106.71,15.0,133.44,15.5,93.76,,,,,0.06896551724137931,0.07142857142857142,0.9950697215532215,1.0154828144234924
14,1.122569361,10553304,598.588,31.45,23.0,87.44,24.0,42.06,25.0,26.0,26.99,27.0,49.12,28.0,29.88,,,,,0.038461538461538464,0.04,0.9950697215532215,1.0154828144234924
15,1.122569361,8706183,598.588,14.42,44.0,37.87,46.0,14.67,48.0,50.0,17.61,55.0,45.79,60.0,36.76,,,,,0.02,0.020833333333333332,0.9950697215532215,1.0154828144234924
16,1.122569361,9486882,598.588,9.53,90.0,18.09,95.0,7.25,100.0,110.0,37.97,120.0,3.0,130.0,38.0,,,,,0.00909090909090909,0.01,0.9950697215532215,1.0154828144234924
