,Market,Runner,Secs,L3S,L3P,L2S,L2P,L1S,L1P,B1P,B1S,B2P,B2S,B3P,B3S,MinExecPx,MinExecSz,MaxExecPx,MaxExecSz,BackPerc,LayPerc,BackPercSum,LayPercSum
0,1.122755168,8812337,599.4,305.82,3.4,186.18,3.45,447.58,3.5,3.55,190.5,3.6,280.46,3.65,166.39,,,,,0.28169014084507044,0.2857142857142857,0.9826620428777246,1.0046897546897546
1,1.122755168,8804566,599.4,309.16,2.96,709.57,2.98,359.97,3.0,3.05,854.79,3.1,431.39,3.15,473.86,,,,,0.3278688524590164,0.3333333333333333,0.9826620428777246,1.0046897546897546
2,1.122755168,6177774,599.4,327.66,6.2,186.7,6.4,132.33,6.6,6.8,54.79,7.0,136.94,7.2,110.61,,,,,0.14705882352941177,0.15151515151515152,0.9826620428777246,1.0046897546897546
3,1.122755168,5796425,599.4,306.55,6.8,267.01,7.0,6.32,7.2,7.4,136.03,7.6,259.99,7.8,185.43,,,,,0.13513513513513511,0.1388888888888889,0.9826620428777246,1.0046897546897546
4,1.122755168,5780960,599.4,118.03,9.8,197.46,10.0,63.75,10.5,11.0,60.36,11.5,59.15,12.0,54.82,,,,,0.09090909090909091,0.09523809523809523,0.9826620428777246,1.0046897546897546
5,1.122755168,8812337,598.395,305.82,3.4,186.18,3.45,447.58,3.5,3.55,190.5,3.6,280.46,3.65,166.39,,,,,0.28169014084507044,0.2857142857142857,0.9826620428777246,1.0046897546897546
6,1.122755168,8804566,598.395,309.16,2.96,709.57,2.98,359.97,3.0,3.05,854.79,3.1,431.39,3.15,473.86,,,,,0.3278688524590164,0.3333333333333333,0.9826620428777246,1.0046897546897546
7,1.122755168,6177774,598.395,327.66,6.2,186.7,6.4,111.66,6.6,6.8,54.79,7.0,136.94,7.2,110.61,6.6,20.0,6.6,20.0,0.14705882352941177,0.15151515151515152,0.9826620428777246,1.0046897546897546
8,1.122755168,5796425,598.395,306.55,6.8,265.01,7.0,6.32,7.2,7.4,136.03,7.6,259.99,7.8,185.43,,,,,0.13513513513513511,0.1388888888888889,0.9826620428777246,1.0046897546897546
9,1.122755168,5780960,598.395,118.03,9.8,197.46,10.0,67.75,10.5,11.0,75.54,11.5,59.15,12.0,106.31,,,,,0.09090909090909091,0.09523809523809523,0.9826620428777246,1.0046897546897546
10,1.122755168,8812337,597.393,305.82,3.4,186.18,3.45,447.58,3.5,3.55,190.5,3.6,280.46,3.65,166.39,,,,,0.28169014084507044,0.2857142857142857,0.9826620428777246,1.0046897546897546
11,1.122755168,8804566,597.393,309.16,2.96,709.57,2.98,351.97,3.0,3.05,854.79,3.1,431.39,3.15,473.86,3.0,16.0,3.0,16.0,0.3278688524590164,0.3333333333333333,0.9826620428777246,1.0046897546897546
12,1.122755168,6177774,597.393,327.66,6.2,186.7,6.4,111.66,6.6,6.8,54.79,7.0,136.94,7.2,110.61,,,,,0.14705882352941177,0.15151515151515152,0.9826620428777246,1.0046897546897546
13,1.122755168,5796425,597.393,306.55,6.8,265.01,7.0,4.18,7.2,7.4,136.03,7.6,259.99,7.8,185.43,,,,,0.13513513513513511,0.1388888888888889,0.9826620428777246,1.0046897546897546
14,1.122755168,5780960,597.393,118.03,9.8,197.46,10.0,67.75,10.5,11.0,75.54,11.5,59.15,12.0,106.31,,,,,0.09090909090909091,0.09523809523809523,0.9826620428777246,1.0046897546897546
15,1.122755168,8812337,596.387,305.82,3.4,186.18,3.45,447.58,3.5,3.55,190.5,3.6,280.46,3.65,166.39,,,,,0.28169014084507044,0.2857142857142857,0.9826620428777246,1.0086580086580086
16,1.122755168,8804566,596.387,309.16,2.96,709.57,2.98,351.6,3.0,3.05,854.79,3.1,431.39,3.15,473.86,,,,,0.3278688524590164,0.3333333333333333,0.9826620428777246,1.0086580086580086
17,1.122755168,6177774,596.387,327.66,6.2,186.7,6.4,111.66,6.6,6.8,54.79,7.0,136.94,7.2,110.61,,,,,0.14705882352941177,0.15151515151515152,0.9826620428777246,1.0086580086580086
18,1.122755168,5796425,596.387,176.64,6.6,306.55,6.8,265.01,7.0,7.4,136.03,7.6,259.99,7.8,185.43,,,,,0.13513513513513511,0.14285714285714285,0.9826620428777246,1.0086580086580086
19,1.122755168,5780960,596.387,118.03,9.8,199.84,10.0,67.75,10.5,11.0,75.54,11.5,59.15,12.0,106.31,,,,,0.09090909090909091,0.09523809523809523,0.9826620428777246,1.0086580086580086
20,1.122755168,8812337,595.382,305.82,3.4,186.18,3.45,297.58,3.5,3.55,190.5,3.6,280.46,3.65,166.39,3.5,300.0100000000002,3.5,300.0100000000002,0.28169014084507044,0.2857142857142857,0.9864157966314785,1.0086580086580086
21,1.122755168,8804566,595.382,309.16,2.96,709.57,2.98,351.6,3.0,3.05,854.79,3.1,431.39,3.15,473.86,,,,,0.3278688524590164,0.3333333333333333,0.9864157966314785,1.0086580086580086
22,1.122755168,6177774,595.382,327.66,6.2,186.7,6.4,107.73,6.6,6.8,54.79,7.0,136.94,7.2,110.61,6.6,7.860000000000127,6.6,7.860000000000127,0.14705882352941177,0.15151515151515152,0.9864157966314785,1.0086580086580086
23,1.122755168,5796425,595.382,176.64,6.6,306.55,6.8,265.01,7.0,7.2,145.82,7.4,136.03,7.6,259.99,7.2,8.359999999999673,7.2,8.359999999999673,0.1388888888888889,0.14285714285714285,0.9864157966314785,1.0086580086580086
24,1.122755168,5780960,595.382,118.03,9.8,199.84,10.0,67.75,10.5,11.0,75.54,11.5,77.87,12.0,129.85,,,,,0.09090909090909091,0.09523809523809523,0.9864157966314785,1.0086580086580086
25,1.122755168,8812337,594.378,305.82,3.4,186.18,3.45,286.33,3.5,3.55,307.81,3.6,280.46,3.65,166.39,3.5,22.5,3.5,22.5,0.28169014084507044,0.2857142857142857,0.9864157966314785,1.0086580086580086
26,1.122755168,8804566,594.378,334.16,2.96,709.57,2.98,401.26,3.0,3.05,854.79,3.1,431.39,3.15,473.86,,,,,0.3278688524590164,0.3333333333333333,0.9864157966314785,1.0086580086580086
27,1.122755168,6177774,594.378,327.66,6.2,211.31,6.4,107.73,6.6,6.8,54.79,7.0,136.94,7.2,110.61,,,,,0.14705882352941177,0.15151515151515152,0.9864157966314785,1.0086580086580086
28,1.122755168,5796425,594.378,184.97,6.6,267.28,6.8,218.24,7.0,7.2,137.32,7.4,136.03,7.6,259.99,7.2,17.0,7.2,17.0,0.1388888888888889,0.14285714285714285,0.9864157966314785,1.0086580086580086
29,1.122755168,5780960,594.378,118.03,9.8,217.75,10.0,63.75,10.5,11.0,75.54,11.5,77.87,12.0,129.85,,,,,0.09090909090909091,0.09523809523809523,0.9864157966314785,1.0086580086580086
30,1.122755168,8812337,593.372,305.82,3.4,186.18,3.45,286.33,3.5,3.55,206.41,3.6,280.46,3.65,166.39,,,,,0.28169014084507044,0.2857142857142857,0.9918802775057954,1.010895145123333
31,1.122755168,8804566,593.372,198.96,2.94,309.16,2.96,709.57,2.98,3.0,20.49,3.05,880.04,3.1,431.39,3.0,853.0200000000004,3.0,853.0200000000004,0.3333333333333333,0.33557046979865773,0.9918802775057954,1.010895145123333
