,Market,Runner,Secs,L3S,L3P,L2S,L2P,L1S,L1P,B1P,B1S,B2P,B2S,B3P,B3S,MinExecPx,MinExecSz,MaxExecPx,MaxExecSz,BackPerc,LayPerc,BackPercSum,LayPercSum
0,1.122755355,5011752,599.937,268.58,5.7,181.0,5.8,120.95,5.9,6.0,151.67,6.2,171.51,6.4,320.17,,,,,0.16666666666666666,0.1694915254237288,0.9910033323674299,1.0293471335654019
1,1.122755355,7860565,599.937,125.51,8.2,116.1,8.4,58.64,8.6,9.0,55.15,9.2,208.22,9.4,103.38,,,,,0.1111111111111111,0.11627906976744186,0.9910033323674299,1.0293471335654019
2,1.122755355,6582458,599.937,128.15,7.4,116.65,7.6,125.27,7.8,8.0,1.36,8.2,90.2,8.4,125.15,,,,,0.125,0.12820512820512822,0.9910033323674299,1.0293471335654019
3,1.122755355,8145916,599.937,217.24,6.4,170.98,6.6,141.14,6.8,7.2,148.85,7.4,136.4,7.6,132.42,,,,,0.1388888888888889,0.14705882352941177,0.9910033323674299,1.0293471335654019
4,1.122755355,4940690,599.937,118.86,9.2,118.06,9.4,133.48,9.6,10.0,481.13,10.5,207.37,11.0,93.04,,,,,0.1,0.10416666666666667,0.9910033323674299,1.0293471335654019
5,1.122755355,9045754,599.937,138.25,7.8,78.14,8.0,89.64,8.2,8.4,46.9,8.6,53.13,8.8,168.86,,,,,0.11904761904761904,0.12195121951219513,0.9910033323674299,1.0293471335654019
6,1.122755355,3991400,599.937,62.23,13.0,77.68,13.5,41.06,14.0,14.5,1.45,15.0,71.98,15.5,56.12,,,,,0.06896551724137931,0.07142857142857142,0.9910033323674299,1.0293471335654019
7,1.122755355,7730379,599.937,64.75,14.5,8.5,15.0,10.01,15.5,16.0,40.4,16.5,88.5,17.0,74.55,,,,,0.0625,0.06451612903225806,0.9910033323674299,1.0293471335654019
8,1.122755355,4724638,599.937,21.73,22.0,24.0,23.0,15.88,24.0,25.0,0.6,26.0,17.14,27.0,15.61,,,,,0.04,0.041666666666666664,0.9910033323674299,1.0293471335654019
9,1.122755355,8872378,599.937,24.79,28.0,5.6,29.0,28.82,30.0,34.0,7.7,36.0,17.24,38.0,10.83,,,,,0.029411764705882353,0.03333333333333333,0.9910033323674299,1.0293471335654019
10,1.122755355,5744856,599.937,15.37,29.0,47.09,30.0,11.4,32.0,34.0,7.55,36.0,7.59,38.0,20.57,,,,,0.029411764705882353,0.03125,0.9910033323674299,1.0293471335654019
11,1.122755355,5011752,598.971,268.58,5.7,181.0,5.8,150.95,5.9,6.0,146.67,6.2,171.51,6.4,320.17,6.0,10.0,6.0,10.0,0.16666666666666666,0.1694915254237288,0.9841172397664506,1.0130420473629318
12,1.122755355,7860565,598.971,116.1,8.4,55.28,8.6,3.21,8.8,9.0,55.15,9.2,208.22,9.4,103.38,,,,,0.1111111111111111,0.11363636363636363,0.9841172397664506,1.0130420473629318
13,1.122755355,6582458,598.971,109.3,7.6,132.62,7.8,2.21,8.0,8.2,90.2,8.4,125.15,8.6,131.01,8.0,2.7199999999999136,8.0,2.7199999999999136,0.12195121951219513,0.125,0.9841172397664506,1.0130420473629318
14,1.122755355,8145916,598.971,170.98,6.6,141.14,6.8,4.17,7.0,7.2,148.85,7.4,136.4,7.6,132.42,,,,,0.1388888888888889,0.14285714285714285,0.9841172397664506,1.0130420473629318
15,1.122755355,4940690,598.971,112.11,9.4,139.29,9.6,2.84,9.8,10.0,481.13,10.5,207.37,11.0,93.04,,,,,0.1,0.1020408163265306,0.9841172397664506,1.0130420473629318
16,1.122755355,9045754,598.971,138.25,7.8,78.14,8.0,56.23,8.2,8.4,43.52,8.6,53.13,8.8,168.86,8.2,66.82000000000005,8.4,6.759999999999991,0.11904761904761904,0.12195121951219513,0.9841172397664506,1.0130420473629318
17,1.122755355,3991400,598.971,77.68,13.5,41.06,14.0,2.25,14.5,15.0,71.98,15.5,56.12,16.0,69.29,14.5,2.9000000000000057,14.5,2.9000000000000057,0.06666666666666667,0.06896551724137931,0.9841172397664506,1.0130420473629318
18,1.122755355,7730379,598.971,64.75,14.5,8.5,15.0,10.01,15.5,16.0,37.07,16.5,88.5,17.0,74.55,16.0,6.659999999999997,16.0,6.659999999999997,0.0625,0.06451612903225806,0.9841172397664506,1.0130420473629318
19,1.122755355,4724638,598.971,24.0,23.0,15.88,24.0,1.47,25.0,26.0,17.14,27.0,15.61,28.0,39.12,25.0,1.2199999999999704,25.0,1.2199999999999704,0.038461538461538464,0.04,0.9841172397664506,1.0130420473629318
20,1.122755355,8872378,598.971,24.79,28.0,7.6,29.0,33.73,30.0,34.0,7.7,36.0,17.24,38.0,10.83,,,,,0.029411764705882353,0.03333333333333333,0.9841172397664506,1.0130420473629318
21,1.122755355,5744856,598.971,15.37,29.0,47.09,30.0,11.4,32.0,34.0,7.55,36.0,7.59,38.0,20.57,,,,,0.029411764705882353,0.03125,0.9841172397664506,1.0130420473629318
22,1.122755355,5011752,597.967,268.58,5.7,189.0,5.8,150.95,5.9,6.0,140.67,6.2,171.51,6.4,320.17,6.0,12.000000000000227,6.0,12.000000000000227,0.16666666666666666,0.1694915254237288,0.9880854937347046,1.019886434166279
23,1.122755355,7860565,597.967,112.32,8.2,98.14,8.4,55.28,8.6,9.0,55.15,9.2,208.22,9.4,103.38,8.8,6.4199999999999875,8.8,6.4199999999999875,0.1111111111111111,0.11627906976744186,0.9880854937347046,1.019886434166279
24,1.122755355,6582458,597.967,132.21,7.6,132.62,7.8,2.21,8.0,8.2,90.2,8.4,125.15,8.6,131.01,,,,,0.12195121951219513,0.125,0.9880854937347046,1.019886434166279
25,1.122755355,8145916,597.967,217.24,6.4,170.98,6.6,132.12,6.8,7.0,5.04,7.2,148.85,7.4,136.4,6.8,18.049999999999955,7.0,8.339999999999918,0.14285714285714285,0.14705882352941177,0.9880854937347046,1.019886434166279
