,Market,Runner,Secs,L3S,L3P,L2S,L2P,L1S,L1P,B1P,B1S,B2P,B2S,B3P,B3S,MinExecPx,MinExecSz,MaxExecPx,MaxExecSz,BackPerc,LayPerc,BackPercSum,LayPercSum
0,1.122755158,8910455,599.449,1252.31,4.0,643.55,4.1,282.06,4.2,4.3,8.32,4.4,388.87,4.5,593.69,,,,,0.23255813953488372,0.23809523809523808,0.9765881131844225,1.0068124127835865
1,1.122755158,9253847,599.449,424.76,5.9,650.16,6.0,95.51,6.2,6.4,186.7,6.6,508.68,6.8,253.69,,,,,0.15625,0.16129032258064516,0.9765881131844225,1.0068124127835865
2,1.122755158,9434517,599.449,258.84,8.6,103.2,8.8,9.26,9.0,9.2,75.66,9.4,189.46,9.6,171.33,,,,,0.10869565217391305,0.1111111111111111,0.9765881131844225,1.0068124127835865
3,1.122755158,8714165,599.449,276.38,9.0,377.01,9.2,25.82,9.4,9.6,81.63,9.8,142.88,10.0,142.99,,,,,0.10416666666666667,0.10638297872340426,0.9765881131844225,1.0068124127835865
4,1.122755158,9264314,599.449,395.55,9.0,337.55,9.2,39.44,9.4,9.6,182.75,9.8,150.46,10.0,126.72,,,,,0.10416666666666667,0.10638297872340426,0.9765881131844225,1.0068124127835865
5,1.122755158,6395118,599.449,201.64,9.8,990.89,10.0,38.84,10.5,11.0,207.66,11.5,185.69,12.0,70.57,,,,,0.09090909090909091,0.09523809523809523,0.9765881131844225,1.0068124127835865
6,1.122755158,7557073,599.449,115.25,9.8,467.15,10.0,220.8,10.5,11.0,128.89,11.5,239.06,12.0,183.96,,,,,0.09090909090909091,0.09523809523809523,0.9765881131844225,1.0068124127835865
7,1.122755158,6719058,599.449,52.1,19.5,168.83,20.0,14.48,21.0,22.0,13.74,23.0,21.12,24.0,65.78,,,,,0.045454545454545456,0.047619047619047616,0.9765881131844225,1.0068124127835865
8,1.122755158,7734096,599.449,82.52,20.0,65.37,21.0,59.47,22.0,23.0,10.56,24.0,94.09,25.0,43.61,,,,,0.043478260869565216,0.045454545454545456,0.9765881131844225,1.0068124127835865
9,1.122755158,9042832,599.449,,,,,,,,,,,,,,,,,,,0.9765881131844225,1.0068124127835865
10,1.122755158,8910455,598.445,1252.31,4.0,636.56,4.1,282.06,4.2,4.3,6.32,4.4,388.87,4.5,593.69,4.3,4.0,4.3,4.0,0.23255813953488372,0.23809523809523808,0.9765881131844225,1.0068124127835865
11,1.122755158,9253847,598.445,424.76,5.9,660.16,6.0,105.38,6.2,6.4,151.7,6.6,508.68,6.8,253.69,6.4,70.0,6.4,70.0,0.15625,0.16129032258064516,0.9765881131844225,1.0068124127835865
12,1.122755158,9434517,598.445,258.84,8.6,103.2,8.8,3.26,9.0,9.2,75.66,9.4,189.46,9.6,188.53,9.0,12.0,9.0,12.0,0.10869565217391305,0.1111111111111111,0.9765881131844225,1.0068124127835865
13,1.122755158,8714165,598.445,276.38,9.0,377.01,9.2,25.82,9.4,9.6,85.63,9.8,142.88,10.0,142.99,,,,,0.10416666666666667,0.10638297872340426,0.9765881131844225,1.0068124127835865
14,1.122755158,9264314,598.445,395.55,9.0,337.55,9.2,10.44,9.4,9.6,182.75,9.8,150.46,10.0,126.72,9.4,58.0,9.4,58.0,0.10416666666666667,0.10638297872340426,0.9765881131844225,1.0068124127835865
15,1.122755158,6395118,598.445,201.64,9.8,990.89,10.0,29.71,10.5,11.0,210.99,11.5,185.69,12.0,70.57,10.5,3.0399999999999636,10.5,3.0399999999999636,0.09090909090909091,0.09523809523809523,0.9765881131844225,1.0068124127835865
16,1.122755158,7557073,598.445,115.25,9.8,467.15,10.0,220.8,10.5,11.0,128.89,11.5,239.06,12.0,183.96,,,,,0.09090909090909091,0.09523809523809523,0.9765881131844225,1.0068124127835865
17,1.122755158,6719058,598.445,52.1,19.5,168.83,20.0,14.48,21.0,22.0,13.74,23.0,21.12,24.0,65.78,,,,,0.045454545454545456,0.047619047619047616,0.9765881131844225,1.0068124127835865
18,1.122755158,7734096,598.445,82.52,20.0,65.37,21.0,59.47,22.0,23.0,10.56,24.0,94.09,25.0,43.61,,,,,0.043478260869565216,0.045454545454545456,0.9765881131844225,1.0068124127835865
19,1.122755158,9042832,598.445,,,,,,,,,,,,,,,,,,,0.9765881131844225,1.0068124127835865
20,1.122755158,8910455,597.442,1252.31,4.0,636.56,4.1,282.06,4.2,4.3,6.32,4.4,388.87,4.5,593.69,,,,,0.23255813953488372,0.23809523809523808,0.9765881131844225,1.0068124127835865
