,Market,Runner,Secs,L3S,L3P,L2S,L2P,L1S,L1P,B1P,B1S,B2P,B2S,B3P,B3S,MinExecPx,MinExecSz,MaxExecPx,MaxExecSz,BackPerc,LayPerc,BackPercSum,LayPercSum
0,1.122755188,8443693,599.446,274.6,2.28,512.48,2.3,344.88,2.32,2.34,222.09,2.36,421.74,2.38,258.44,,,,,0.4273504273504274,0.4310344827586207,0.9983918128654969,1.0169706371696707
1,1.122755188,6438772,599.446,244.77,3.6,178.14,3.65,214.39,3.7,3.75,61.21,3.8,189.98,3.85,151.1,,,,,0.26666666666666666,0.27027027027027023,0.9983918128654969,1.0169706371696707
2,1.122755188,8628329,599.446,241.32,7.2,212.78,7.4,147.9,7.6,7.8,139.2,8.0,163.77,8.2,94.42,,,,,0.12820512820512822,0.13157894736842105,0.9983918128654969,1.0169706371696707
3,1.122755188,8234422,599.446,32.05,17.5,69.47,18.0,25.66,18.5,19.0,37.81,19.5,69.04,20.0,21.88,,,,,0.05263157894736842,0.05405405405405406,0.9983918128654969,1.0169706371696707
4,1.122755188,6484261,599.446,26.55,21.0,55.6,22.0,43.54,23.0,24.0,4.92,25.0,22.79,26.0,14.02,,,,,0.041666666666666664,0.043478260869565216,0.9983918128654969,1.0169706371696707
5,1.122755188,6691704,599.446,49.53,16.5,63.15,17.0,60.91,17.5,18.0,0.87,18.5,31.94,19.0,65.11,,,,,0.05555555555555555,0.05714285714285714,0.9983918128654969,1.0169706371696707
6,1.122755188,7430139,599.446,42.38,30.0,20.17,32.0,44.81,34.0,38.0,55.52,40.0,10.92,42.0,11.02,,,,,0.02631578947368421,0.029411764705882353,0.9983918128654969,1.0169706371696707
7,1.122755188,8443693,598.442,274.6,2.28,512.48,2.3,338.88,2.32,2.34,222.09,2.36,421.74,2.38,258.44,,,,,0.4273504273504274,0.4310344827586207,0.9983918128654969,1.0169706371696707
8,1.122755188,6438772,598.442,238.77,3.6,172.14,3.65,212.54,3.7,3.75,44.9,3.8,197.59,3.85,151.1,3.7,3.700000000000017,3.75,32.63000000000011,0.26666666666666666,0.27027027027027023,0.9983918128654969,1.0169706371696707
9,1.122755188,8628329,598.442,241.32,7.2,208.78,7.4,147.9,7.6,7.8,139.2,8.0,163.77,8.2,94.42,,,,,0.12820512820512822,0.13157894736842105,0.9983918128654969,1.0169706371696707
10,1.122755188,8234422,598.442,32.05,17.5,69.47,18.0,25.66,18.5,19.0,37.81,19.5,69.04,20.0,21.88,,,,,0.05263157894736842,0.05405405405405406,0.9983918128654969,1.0169706371696707
11,1.122755188,6484261,598.442,26.55,21.0,55.6,22.0,43.54,23.0,24.0,4.92,25.0,22.79,26.0,6.71,,,,,0.041666666666666664,0.043478260869565216,0.9983918128654969,1.0169706371696707
12,1.122755188,6691704,598.442,49.53,16.5,63.15,17.0,60.91,17.5,18.0,0.87,18.5,31.94,19.0,65.11,,,,,0.05555555555555555,0.05714285714285714,0.9983918128654969,1.0169706371696707
13,1.122755188,7430139,598.442,42.38,30.0,20.17,32.0,40.81,34.0,38.0,55.52,40.0,10.92,42.0,11.02,,,,,0.02631578947368421,0.029411764705882353,0.9983918128654969,1.0169706371696707
14,1.122755188,8443693,597.437,306.6,2.28,409.8,2.3,329.53,2.32,2.34,220.56,2.36,421.74,2.38,293.64,2.34,3.0600000000004,2.34,3.0600000000004,0.4273504273504274,0.4310344827586207,0.9983918128654969,1.0169706371696707
15,1.122755188,6438772,597.437,238.77,3.6,172.14,3.65,212.54,3.7,3.75,44.9,3.8,197.59,3.85,151.1,,,,,0.26666666666666666,0.27027027027027023,0.9983918128654969,1.0169706371696707
16,1.122755188,8628329,597.437,241.32,7.2,208.78,7.4,147.9,7.6,7.8,139.2,8.0,163.77,8.2,94.42,,,,,0.12820512820512822,0.13157894736842105,0.9983918128654969,1.0169706371696707
17,1.122755188,8234422,597.437,32.05,17.5,69.47,18.0,25.66,18.5,19.0,37.81,19.5,69.04,20.0,21.88,,,,,0.05263157894736842,0.05405405405405406,0.9983918128654969,1.0169706371696707
18,1.122755188,6484261,597.437,26.55,21.0,55.6,22.0,43.54,23.0,24.0,4.92,25.0,22.79,26.0,6.71,,,,,0.041666666666666664,0.043478260869565216,0.9983918128654969,1.0169706371696707
19,1.122755188,6691704,597.437,49.53,16.5,63.15,17.0,60.91,17.5,18.0,0.87,18.5,13.13,19.0,65.11,,,,,0.05555555555555555,0.05714285714285714,0.9983918128654969,1.0169706371696707
20,1.122755188,7430139,597.437,42.38,30.0,20.17,32.0,40.81,34.0,38.0,55.52,40.0,10.92,42.0,11.02,,,,,0.02631578947368421,0.029411764705882353,0.9983918128654969,1.0169706371696707
21,1.122755188,8443693,596.433,294.6,2.28,409.8,2.3,329.53,2.32,2.34,220.56,2.36,421.74,2.38,293.64,,,,,0.4273504273504274,0.4310344827586207,0.9968903113639954,1.0153833355823692
22,1.122755188,6438772,596.433,238.77,3.6,172.14,3.65,212.54,3.7,3.75,44.9,3.8,197.59,3.85,151.1,,,,,0.26666666666666666,0.27027027027027023,0.9968903113639954,1.0153833355823692
23,1.122755188,8628329,596.433,241.32,7.2,208.78,7.4,147.9,7.6,7.8,139.2,8.0,163.77,8.2,94.42,,,,,0.12820512820512822,0.13157894736842105,0.9968903113639954,1.0153833355823692
24,1.122755188,8234422,596.433,32.05,17.5,69.47,18.0,25.66,18.5,19.0,37.81,19.5,69.04,20.0,21.88,,,,,0.05263157894736842,0.05405405405405406,0.9968903113639954,1.0153833355823692
25,1.122755188,6484261,596.433,26.55,21.0,55.6,22.0,49.54,23.0,24.0,4.92,25.0,22.79,26.0,6.71,,,,,0.041666666666666664,0.043478260869565216,0.9968903113639954,1.0153833355823692
26,1.122755188,6691704,596.433,63.15,17.0,60.91,17.5,4.2,18.0,18.5,13.13,19.0,65.11,19.5,57.56,18.0,1.740000000000009,18.0,1.740000000000009,0.05405405405405406,0.05555555555555555,0.9968903113639954,1.0153833355823692
27,1.122755188,7430139,596.433,42.38,30.0,20.17,32.0,40.81,34.0,38.0,55.52,40.0,10.92,42.0,11.02,,,,,0.02631578947368421,0.029411764705882353,0.9968903113639954,1.0153833355823692
28,1.122755188,8443693,595.429,294.6,2.28,409.8,2.3,329.53,2.32,2.34,220.56,2.36,421.74,2.38,293.64,,,,,0.4273504273504274,0.4310344827586207,0.9968903113639954,1.0153833355823692
29,1.122755188,6438772,595.429,238.77,3.6,172.14,3.65,216.54,3.7,3.75,24.9,3.8,197.59,3.85,151.1,,,,,0.26666666666666666,0.27027027027027023,0.9968903113639954,1.0153833355823692
30,1.122755188,8628329,595.429,241.32,7.2,208.78,7.4,147.9,7.6,7.8,139.2,8.0,163.77,8.2,94.42,,,,,0.12820512820512822,0.13157894736842105,0.9968903113639954,1.0153833355823692
31,1.122755188,8234422,595.429,32.05,17.5,69.47,18.0,25.66,18.5,19.0,37.81,19.5,69.04,20.0,21.88,,,,,0.05263157894736842,0.05405405405405406,0.9968903113639954,1.0153833355823692
32,1.122755188,6484261,595.429,26.55,21.0,55.6,22.0,49.54,23.0,24.0,4.92,25.0,22.79,26.0,6.71,,,,,0.041666666666666664,0.043478260869565216,0.9968903113639954,1.0153833355823692
33,1.122755188,6691704,595.429,63.15,17.0,60.91,17.5,4.27,18.0,18.5,13.13,19.0,65.11,19.5,57.56,,,,,0.05405405405405406,0.05555555555555555,0.9968903113639954,1.0153833355823692
34,1.122755188,7430139,595.429,42.38,30.0,20.17,32.0,40.81,34.0,38.0,55.52,40.0,10.92,42.0,11.02,,,,,0.02631578947368421,0.029411764705882353,0.9968903113639954,1.0153833355823692
35,1.122755188,8443693,594.425,294.6,2.28,412.8,2.3,307.72,2.32,2.34,220.56,2.36,421.74,2.38,293.64,,,,,0.4273504273504274,0.4310344827586207,0.9933815394341708,1.010145745050661
36,1.122755188,6438772,594.425,172.14,3.65,216.54,3.7,3.31,3.75,3.8,197.59,3.85,151.1,3.9,286.2,3.75,49.809999999999945,3.75,49.809999999999945,0.2631578947368421,0.26666666666666666,0.9933815394341708,1.010145745050661
37,1.122755188,8628329,594.425,241.32,7.2,208.78,7.4,161.83,7.6,7.8,139.2,8.0,163.77,8.2,94.42,,,,,0.12820512820512822,0.13157894736842105,0.9933815394341708,1.010145745050661
38,1.122755188,8234422,594.425,32.05,17.5,69.47,18.0,31.38,18.5,19.0,37.81,19.5,69.04,20.0,21.88,,,,,0.05263157894736842,0.05405405405405406,0.9933815394341708,1.010145745050661
39,1.122755188,6484261,594.425,26.55,21.0,55.6,22.0,49.54,23.0,24.0,0.51,25.0,22.79,26.0,6.71,24.0,8.819999999999993,24.0,8.819999999999993,0.041666666666666664,0.043478260869565216,0.9933815394341708,1.010145745050661
40,1.122755188,6691704,594.425,63.15,17.0,60.91,17.5,10.15,18.0,18.5,13.13,19.0,65.11,19.5,57.56,,,,,0.05405405405405406,0.05555555555555555,0.9933815394341708,1.010145745050661
41,1.122755188,7430139,594.425,20.17,32.0,40.81,34.0,2.93,36.0,38.0,55.52,40.0,10.92,42.0,11.02,,,,,0.02631578947368421,0.027777777777777776,0.9933815394341708,1.010145745050661
42,1.122755188,8443693,593.42,170.31,2.28,417.8,2.3,116.47,2.32,2.34,220.56,2.36,421.74,2.38,293.64,2.32,200.0,2.32,200.0,0.4273504273504274,0.4310344827586207,0.9933815394341708,1.010145745050661
43,1.122755188,6438772,593.42,222.51,3.65,220.54,3.7,19.62,3.75,3.8,189.98,3.85,151.1,3.9,286.2,,,,,0.2631578947368421,0.26666666666666666,0.9933815394341708,1.010145745050661
44,1.122755188,8628329,593.42,241.32,7.2,187.92,7.4,161.06,7.6,7.8,139.2,8.0,163.77,8.2,94.42,7.6,1.5199999999999818,7.6,1.5199999999999818,0.12820512820512822,0.13157894736842105,0.9933815394341708,1.010145745050661
45,1.122755188,8234422,593.42,32.05,17.5,69.47,18.0,25.07,18.5,19.0,37.81,19.5,69.04,20.0,21.88,,,,,0.05263157894736842,0.05405405405405406,0.9933815394341708,1.010145745050661
